DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
1633108417;Rumour - Withdrawn;COMMUNICATION DESIGN INTERNATIONAL LTD;5HT.SI;2012-12-06;2013-03-06;^STI
1907022914;Rumour - Withdrawn;CHINA NEW ENERGY LTD;CNEL.L;2013-12-18;2014-02-24;^FTSE
1909000093;Rumour - Withdrawn;SOCIEDADE COMERCIAL OREY ANTUNES SA;ORE.LS;2013-07-13;2013-10-09;^STOXX50E
1909018928;Rumour - Withdrawn;SNC-LAVALIN GROUP INC.;SNC.TO;2013-08-19;2013-09-13;^GSPTSE
1909025279;Rumour - Withdrawn;NOVATEK OAO;NVTK.ME;2013-09-25;2013-11-13;RTS.RS
1909041422;Rumour - Withdrawn;TELEFONICA SA;TEF.MC;2013-09-07;2013-11-14;^STOXX50E
1909047689;Rumour - Withdrawn;H&T GROUP PLC;HAT.L;2013-12-02;2014-01-27;^FTSE
1909065809;Rumour - Withdrawn;BANK HAPOALIM BM;POLI.TA;2013-12-05;2014-01-28;TA-100
1909075043;Rumour - Withdrawn;NOVARTIS AG;NVS;2014-02-24;2014-06-24;^FTSE
1909075226;Rumour - Withdrawn;TONOGOLD RESOURCES INC.;TNGL;2014-02-19;2014-05-08;^GSPC
1909083708;Rumour - Withdrawn;NOVARTIS AG;NVS;2014-03-18;2014-05-01;^FTSE
1909083936;Rumour - Withdrawn;REMO RESOURCES INC.;RER.V;2014-03-17;2014-05-12;^GSPTSE
1909118296;Rumour - Withdrawn;AMS AG;AMS.SW;2014-06-25;2014-07-22;^ATX
1909121133;Rumour - Withdrawn;VOLKSWAGEN AG;VOW3.F;2014-07-03;2014-07-29;^GDAXI
1909148038;Rumour - Withdrawn;CF INDUSTRIES HOLDINGS INC.;C4F.F;2014-09-23;2014-10-17;^NY
1909181199;Rumour - Withdrawn;CANADA COAL INC.;CCK.V;2014-11-21;2015-03-09;^GSPTSE
1909191461;Rumour - Withdrawn;BFS ENTERTAINMENT & MULTIMEDIA LTD;BFS.V;2015-01-16;2015-04-20;^GSPTSE
1909209129;Rumour - Withdrawn;ALMONTY INDUSTRIES INC.;AII.V;2015-03-10;2015-05-19;^GSPTSE
1909217848;Rumour - Withdrawn;GOLDPLAT PLC;GDP.L;2015-04-02;2015-05-27;^FTSE
1909218897;Rumour - Withdrawn;DIEBOLD INC.;DLD.F;2015-04-08;2015-06-10;^NY
1909240133;Rumour - Withdrawn;DEUTSCHE BANK AG;DBK.DE;2015-05-29;2015-06-29;^GDAXI
1909240207;Rumour - Withdrawn;DEUTSCHE BANK AG;DBK.DE;2015-05-29;2015-06-29;^GDAXI
444768;Withdrawn;BANK HAPOALIM BM;POLI.TA;2008-07-17;2009-01-18;TA-100
